Designator,Mid X,Mid Y,Rotation,Layer
C15,182.0,-91.0,90.0,top
C16,182.5,-93.5,0.0,top
C17,182.5,-94.5,0.0,top
C18,177.4,-95.0,270.0,top
C19,178.6,-95.0,270.0,top
C20,173.5,-86.0,180.0,top
C21,173.5,-89.1,0.0,top
C22,161.1,-106.925,90.0,top
C23,156.7,-99.575,90.0,top
C24,173.5,-87.4,0.0,top
C25,173.5,-88.3,0.0,top
C6,202.775,-98.5,180.0,top
D1,203.0,-78.0,180.0,top
D2,156.7,-102.7,270.0,top
D3,152.4,-92.5,270.0,top
D5,152.4,-95.7,270.0,top
D6,147.8,-84.6,270.0,top
J3,150.0,-100.0,0.0,top
J4,137.5,-100.0,0.0,top
J5,178.8,-133.49,180.0,top
J6,179.0,-78.1025,180.0,top
L2,178.0,-88.0,90.0,top
Q1,154.5,-103.7625,0.0,top
Q2,150.1,-84.9375,180.0,top
Q3,150.1,-87.3375,180.0,top
Q4,156.0,-87.5,180.0,top
R1,153.5,-86.0,180.0,top
R10,184.1,-77.8,90.0,top
R11,173.9,-77.8,270.0,top
R12,159.5,-104.6,180.0,top
R13,159.5,-108.1,180.0,top
R14,178.0,-95.0,270.0,top
R15,179.2,-95.0,90.0,top
R16,179.8,-95.0,270.0,top
R17,151.2,-88.8,180.0,top
R18,153.5,-95.7,0.0,top
R19,153.5,-91.6,0.0,top
R2,204.0,-98.5,180.0,top
R20,152.2,-93.8,270.0,top
R3,153.2,-87.4,270.0,top
R4,149.4,-83.3,0.0,top
R5,156.7,-104.1,270.0,top
R6,152.4,-103.825,90.0,top
R8,152.3,-97.1,270.0,top
R9,147.8,-86.0,270.0,top
U1,197.5,-89.5,270.0,top
U2,154.4,-93.4,0.0,top
U3,178.0,-93.0,90.0,top
U4,159.5,-103.5,270.0,top
U5,159.5,-107.0,270.0,top
U6,154.6,-97.3,0.0,top
